"filename", "language", "PHP", "Python", "CSS", "HTML", "SQL", "comment", "blank", "total"
"c:\wamp64\www\Project4523M\api.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\wamp64\www\Project4523M\asserts\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 2
"c:\wamp64\www\Project4523M\db\connet.php", "PHP", 11, 0, 0, 0, 0, 0, 2, 13
"c:\wamp64\www\Project4523M\db\order.sql", "SQL", 0, 0, 0, 0, 35, 25, 16, 76
"c:\wamp64\www\Project4523M\dealer\checkout.php", "PHP", 163, 0, 0, 0, 0, 0, 18, 181
"c:\wamp64\www\Project4523M\dealer\dealer_UpdateInfo.php", "PHP", 115, 0, 0, 0, 0, 0, 17, 132
"c:\wamp64\www\Project4523M\dealer\dealer_createOrder.php", "PHP", 495, 0, 0, 0, 0, 0, 24, 519
"c:\wamp64\www\Project4523M\dealer\dealer_home.html", "HTML", 0, 0, 0, 78, 0, 0, 7, 85
"c:\wamp64\www\Project4523M\dealer\dealer_viewOrder.php", "PHP", 125, 0, 0, 0, 0, 0, 14, 139
"c:\wamp64\www\Project4523M\dealer\form.css", "CSS", 0, 0, 27, 0, 0, 0, 7, 34
"c:\wamp64\www\Project4523M\dealer_login.php", "PHP", 30, 0, 0, 0, 0, 0, 9, 39
"c:\wamp64\www\Project4523M\index.html", "HTML", 0, 0, 0, 111, 0, 0, 30, 141
"c:\wamp64\www\Project4523M\login.css", "CSS", 0, 0, 171, 0, 0, 0, 67, 238
"c:\wamp64\www\Project4523M\manager\manager_delete_Item.php", "PHP", 104, 0, 0, 0, 0, 0, 11, 115
"c:\wamp64\www\Project4523M\manager\manager_edit_Item.php", "PHP", 82, 0, 0, 0, 0, 0, 2, 84
"c:\wamp64\www\Project4523M\manager\manager_form.css", "CSS", 0, 0, 12, 0, 0, 0, 2, 14
"c:\wamp64\www\Project4523M\manager\manager_generate_report.php", "PHP", 116, 0, 0, 0, 0, 0, 5, 121
"c:\wamp64\www\Project4523M\manager\manager_home.html", "HTML", 0, 0, 0, 234, 0, 0, 4, 238
"c:\wamp64\www\Project4523M\manager\manager_insert_Item.php", "PHP", 102, 0, 0, 0, 0, 0, 8, 110
"c:\wamp64\www\Project4523M\manager\manager_update_record.php", "PHP", 110, 0, 0, 0, 0, 0, 10, 120
"c:\wamp64\www\Project4523M\manager_login.php", "PHP", 24, 0, 0, 0, 0, 0, 9, 33
"c:\wamp64\www\Project4523M\test.html", "HTML", 0, 0, 0, 38, 0, 0, 4, 42
"Total", "-", 1477, 0, 210, 461, 35, 25, 269, 2477